visits,month,date,year,day,hour
1,November,20,2019,Wednesday,15
1,December,02,2019,Monday,10
1,December,02,2019,Monday,15
6,December,03,2019,Tuesday,09
1,December,03,2019,Tuesday,14
1,December,04,2019,Wednesday,15
6,December,05,2019,Thursday,12
2,December,05,2019,Thursday,14
1,December,06,2019,Friday,15
6,December,09,2019,Monday,12
1,December,10,2019,Tuesday,14
2,December,11,2019,Wednesday,13
1,December,12,2019,Thursday,12
1,December,17,2019,Tuesday,13
1,December,18,2019,Wednesday,16
6,January,15,2020,Wednesday,12
1,January,15,2020,Wednesday,13
1,January,17,2020,Friday,12
2,January,17,2020,Friday,12
4,January,21,2020,Tuesday,09
5,January,21,2020,Tuesday,10
5,January,21,2020,Tuesday,10
5,January,21,2020,Tuesday,10
5,January,21,2020,Tuesday,10
4,January,21,2020,Tuesday,12
4,January,21,2020,Tuesday,15
4,January,22,2020,Wednesday,11
4,January,22,2020,Wednesday,14
4,January,23,2020,Thursday,09
3,January,23,2020,Thursday,11
7,January,23,2020,Thursday,12
4,January,23,2020,Thursday,12
4,January,23,2020,Thursday,12
4,January,23,2020,Thursday,16
2,January,24,2020,Friday,10
2,January,24,2020,Friday,13
2,January,27,2020,Monday,10
1,January,27,2020,Monday,12
1,January,27,2020,Monday,12
1,January,27,2020,Monday,12
1,January,27,2020,Monday,13
4,January,27,2020,Monday,14
1,January,28,2020,Tuesday,10
1,January,28,2020,Tuesday,12
1,January,28,2020,Tuesday,16
2,January,28,2020,Tuesday,17
2,January,29,2020,Wednesday,12
4,January,29,2020,Wednesday,14
1,January,29,2020,Wednesday,16
4,January,30,2020,Thursday,09
1,January,30,2020,Thursday,13
4,January,30,2020,Thursday,14
4,January,30,2020,Thursday,17
4,January,31,2020,Friday,11
5,January,31,2020,Friday,13
4,February,03,2020,Monday,11
1,February,03,2020,Monday,16
2,February,04,2020,Tuesday,16
5,February,05,2020,Wednesday,11
2,February,05,2020,Wednesday,11
6,February,05,2020,Wednesday,14
4,February,11,2020,Tuesday,09
1,February,11,2020,Tuesday,12
1,February,11,2020,Tuesday,16
3,February,12,2020,Wednesday,13
4,February,13,2020,Thursday,09
4,February,13,2020,Thursday,12
1,February,13,2020,Thursday,13
3,February,13,2020,Thursday,16
4,February,14,2020,Friday,11
1,February,15,2020,Saturday,13
2,February,17,2020,Monday,11
4,February,18,2020,Tuesday,09
1,February,18,2020,Tuesday,11
3,February,18,2020,Tuesday,12
6,February,18,2020,Tuesday,15
1,February,18,2020,Tuesday,15
4,February,20,2020,Thursday,08
1,February,20,2020,Thursday,12
4,February,22,2020,Saturday,12
6,February,24,2020,Monday,16
4,February,25,2020,Tuesday,09
4,February,25,2020,Tuesday,15
4,February,27,2020,Thursday,09
3,February,27,2020,Thursday,10
4,February,27,2020,Thursday,12
1,February,27,2020,Thursday,12
3,March,02,2020,Monday,14
6,March,03,2020,Tuesday,09
3,March,04,2020,Wednesday,13
3,March,04,2020,Wednesday,13
